Applejack;Applejack is a female Earth pony and one of the main characters of My Little Pony Friendship is Magic. She lives and works at Sweet Apple Acres with her grandmother Granny Smith, her older brother Big McIntosh, her younger sister Apple Bloom, and her dog Winona. She represents the element of honesty.;[Earth];Female;[Sweet Apple Acres];https://static.wikia.nocookie.net/mlp/images/d/d8/Applejack_S01E13_cropped.png/revision/latest/scale-to-width-down/225?cb=20130419182236
Fluttershy;Fluttershy is a female Pegasus pony and one of the main characters of My Little Pony Friendship is Magic. She lives in a small cottage near the Everfree Forest and takes care of animals, the most prominent of her charges being Angel the bunny. She represents the element of kindness.;[Pegasus];Female;[Outside of Ponyville, in a cottage near the Everfree Forest Cloudsdale ];https://static.wikia.nocookie.net/mlp/images/d/d6/Fluttershy_ID_S1E17.png/revision/latest/scale-to-width-down/225?cb=20190410214903
Pinkie Pie;Pinkie Pie, full name Pinkamena Diane Pie,[note 2] is a female Earth pony and one of the main characters of My Little Pony Friendship is Magic. She is an energetic and sociable baker at Sugarcube Corner, where she lives on the second floor with her toothless pet alligator Gummy, and she represents the element of laughter. Pinkie writes and performs many songs, and she is the source of many of the show's comical and cartoonish gags. She is called Ponka Po in some merchandise.;[Earth Human ];Female;[Sugarcube Corner, Ponyville Pie Family Rock Farm, Rockville, Western Equestria ];https://static.wikia.nocookie.net/mlp/images/b/b2/Pinkie_Pie_ID_S4E11.png/revision/latest/scale-to-width-down/225?cb=20190410214815
Rainbow Dash;Rainbow Dash is a female Pegasus pony and one of the main characters in My Little Pony Friendship is Magic. She maintains the weather and clears the skies in Ponyville. As a huge fan of the Wonderbolts, she becomes a reservist member of the elite flying group in Testing Testing 1, 2, 3 and a full member in Newbie Dash. In Sonic Rainboom, Rarity and Princess Celestia both declare that she is the best flier in all of Equestria. Rainbow Dash has a pet tortoise named Tank, whom she chooses out of Fluttershy's offered animals in the episode May the Best Pet Win! She represents the element of loyalty.;[Pegasus];Female;[Cloudominium over Ponyville Cloudsdale ];https://static.wikia.nocookie.net/mlp/images/4/4b/Rainbow_Dash_Wonderbolt_fantasy_cropped_S1E3.png/revision/latest/scale-to-width-down/225?cb=20210206044556
Rarity;Rarity is a female unicorn pony and one of the main characters of My Little Pony Friendship is Magic. She is Sweetie Belle's older sister and the subject of Spike's long-term crush. Rarity works as both a fashion designer and a seamstress at her own shop in Ponyville, the Carousel Boutique. She has a white Persian cat named Opalescence. She represents the element of generosity.;[Unicorn];Female;[Carousel Boutique, Ponyville];https://static.wikia.nocookie.net/mlp/images/d/d1/Rarity_standing_S1E19_CROPPED.png/revision/latest/scale-to-width-down/225?cb=20130418142043
Sunny Starscout;Sunny Starscout is the central main character of the My Little Pony Generation 5 film My Little Pony: A New Generation. She is a female Earth pony resident of Maretime Bay who dreams of making the world a better place and bringing magic and harmony back to Equestria after it disappeared a long time ago.;[Earth];Female;[Maretime Bay];data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D
Izzy Moonbow;Izzy Moonbow is a female unicorn pony and one of the main characters of My Little Pony: A New Generation and My Little Pony Generation 5. She is an energetic and optimistic resident of Bridlewood Forest and Sunny Starscout's first non-Earth pony friend who specializes in arts and crafts.;[Unicorn];Female;[Bridlewood Forest];data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D
Hitch Trailblazer;Hitch Trailblazer is a male Earth pony and one of the main characters of My Little Pony: A New Generation and My Little Pony Generation 5. He is the law-keeping sheriff of Maretime Bay and a childhood friend of Sunny Starscout.;[Earth];Male;[Maretime Bay];data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D
Pipp Petals;Princess Pipp Petals is a female Pegasus pony and one of the main characters of My Little Pony: A New Generation and My Little Pony Generation 5. She is a princess of Zephyr Heights, Zipp Storm's younger sister,[note 1] Queen Haven's youngest daughter, and a famous pop singer and social media influencer.;[Pegasus];Female;[Zephyr Heights];data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D
Zipp Storm;Princess Zipp Storm, full name Zephyrina Storm, is a female Pegasus pony and one of the main characters of My Little Pony: A New Generation and My Little Pony Generation 5. She is a princess of Zephyr Heights, Pipp Petals' older sister,[note 1] Queen Haven's eldest daughter, and the heiress to the Zephyr Heights throne.;[Pegasus];Female;[Zephyr Heights];data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D
Sunny Starscout;Sunny Starscout is the central main character of the My Little Pony Generation 5 film My Little Pony: A New Generation. She is a female Earth pony resident of Maretime Bay who dreams of making the world a better place and bringing magic and harmony back to Equestria after it disappeared a long time ago.;[Earth];Female;[Maretime Bay];data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D
Izzy Moonbow;Izzy Moonbow is a female unicorn pony and one of the main characters of My Little Pony: A New Generation and My Little Pony Generation 5. She is an energetic and optimistic resident of Bridlewood Forest and Sunny Starscout's first non-Earth pony friend who specializes in arts and crafts.;[Unicorn];Female;[Bridlewood Forest];data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D
Hitch Trailblazer;Hitch Trailblazer is a male Earth pony and one of the main characters of My Little Pony: A New Generation and My Little Pony Generation 5. He is the law-keeping sheriff of Maretime Bay and a childhood friend of Sunny Starscout.;[Earth];Male;[Maretime Bay];data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D
Pipp Petals;Princess Pipp Petals is a female Pegasus pony and one of the main characters of My Little Pony: A New Generation and My Little Pony Generation 5. She is a princess of Zephyr Heights, Zipp Storm's younger sister,[note 1] Queen Haven's youngest daughter, and a famous pop singer and social media influencer.;[Pegasus];Female;[Zephyr Heights];data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D
Zipp Storm;Princess Zipp Storm, full name Zephyrina Storm, is a female Pegasus pony and one of the main characters of My Little Pony: A New Generation and My Little Pony Generation 5. She is a princess of Zephyr Heights, Pipp Petals' older sister,[note 1] Queen Haven's eldest daughter, and the heiress to the Zephyr Heights throne.;[Pegasus];Female;[Zephyr Heights];data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D
Sweetie Belle;Sweetie Belle is a school-age unicorn pony and Rarity's younger sister. She makes her first major appearance in the episode Call of the Cutie. Sweetie Belle and her friends, Apple Bloom and Scootaloo, form the Cutie Mark Crusaders, a club/"secret society" devoted to helping ponies earn their cutie marks.;[Unicorn];Female;null;data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D
Apple Bloom;Apple Bloom is a female school-age Earth pony and a member of the Apple family. She is the younger sister of Applejack and Big McIntosh and granddaughter of Granny Smith. Apple Bloom is one of the founding members of the Cutie Mark Crusaders, a club/"secret" society devoted to helping ponies earn their cutie marks, along with Sweetie Belle and Scootaloo. She is varyingly called Apple Blossom and Apple Boom in some other media and promotional material.;[Earth];Female;[Sweet Apple Acres];https://static.wikia.nocookie.net/mlp/images/1/1c/Apple_Bloom_ID_S6E4.png/revision/latest/scale-to-width-down/240?cb=20160411140505
Scootaloo;Scootaloo is a female school-age Pegasus pony. She first appears in Friendship is Magic, part 1, and she is later properly introduced in Call of the Cutie. Scootaloo and her friends, Apple Bloom and Sweetie Belle form the Cutie Mark Crusaders, a club/"secret society" devoted to helping ponies earn their cutie marks. She is a talented scooter driver. She idolizes Rainbow Dash and develops a sisterly bond with her in Sleepless in Ponyville. Lauren Faust has stated that Scootaloo and Rainbow are not related.[6];[Pegasus];Female;[A house in Ponyville];https://static.wikia.nocookie.net/mlp/images/5/5a/Scootaloo_ID_S6E4.png/revision/latest/scale-to-width-down/240?cb=20160411140522
Babs Seed;Babs Seed is a female school-age Earth pony and Apple Bloom's cousin from Manehattan. She is a former member of the Cutie Mark Crusaders, having gotten a cutie mark of a pair of scissors with apple-shaped handles, as revealed in Bloom & Gloom, and the founder of the Crusaders' Manehattan branch. She speaks with a heavy Bronx accent. She is called Sweetie Babs in some merchandise.;[Earth Human ];Female;[Manehattan Farrier Hill, Hooflyn ];https://static.wikia.nocookie.net/mlp/images/c/c0/Babs_Seed_ID_MLP_Facebook.png/revision/latest/scale-to-width-down/210?cb=20190906111222
Sweetie Belle;Sweetie Belle is a school-age unicorn pony and Rarity's younger sister. She makes her first major appearance in the episode Call of the Cutie. Sweetie Belle and her friends, Apple Bloom and Scootaloo, form the Cutie Mark Crusaders, a club/"secret society" devoted to helping ponies earn their cutie marks.;[Unicorn];Female;null;data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D
Apple Bloom;Apple Bloom is a female school-age Earth pony and a member of the Apple family. She is the younger sister of Applejack and Big McIntosh and granddaughter of Granny Smith. Apple Bloom is one of the founding members of the Cutie Mark Crusaders, a club/"secret" society devoted to helping ponies earn their cutie marks, along with Sweetie Belle and Scootaloo. She is varyingly called Apple Blossom and Apple Boom in some other media and promotional material.;[Earth];Female;[Sweet Apple Acres];https://static.wikia.nocookie.net/mlp/images/1/1c/Apple_Bloom_ID_S6E4.png/revision/latest/scale-to-width-down/240?cb=20160411140505
Babs Seed;Babs Seed is a female school-age Earth pony and Apple Bloom's cousin from Manehattan. She is a former member of the Cutie Mark Crusaders, having gotten a cutie mark of a pair of scissors with apple-shaped handles, as revealed in Bloom & Gloom, and the founder of the Crusaders' Manehattan branch. She speaks with a heavy Bronx accent. She is called Sweetie Babs in some merchandise.;[Earth Human ];Female;[Manehattan Farrier Hill, Hooflyn ];https://static.wikia.nocookie.net/mlp/images/c/c0/Babs_Seed_ID_MLP_Facebook.png/revision/latest/scale-to-width-down/210?cb=20190906111222
Scootaloo;Scootaloo is a female school-age Pegasus pony. She first appears in Friendship is Magic, part 1, and she is later properly introduced in Call of the Cutie. Scootaloo and her friends, Apple Bloom and Sweetie Belle form the Cutie Mark Crusaders, a club/"secret society" devoted to helping ponies earn their cutie marks. She is a talented scooter driver. She idolizes Rainbow Dash and develops a sisterly bond with her in Sleepless in Ponyville. Lauren Faust has stated that Scootaloo and Rainbow are not related.[6];[Pegasus];Female;[A house in Ponyville];https://static.wikia.nocookie.net/mlp/images/5/5a/Scootaloo_ID_S6E4.png/revision/latest/scale-to-width-down/240?cb=20160411140522
